followers,followings,tweets_count,tweets_likes,replies_count,replies_likes,retweets_count,retweets_with_comment_count,retweets_with_comment_likes,retweeteds,replieds
1,0,1,0,0,0,0,0,0,0,0
1,44,1,0,2,0,0,0,0,0,0
67,61,2,1,0,0,0,0,0,0,0
2,2,24,27,1,0,80,0,0,121,2
9,10,5,1,1,1,227,0,0,122,2
5,11,15,1,12,0,142,0,0,185,9
4,0,8,0,37,2,78,0,0,61,0
10,0,12,6,31,4,111,0,0,338,5
6,9,46,1,11,1,52,0,0,132,2
18,83,3,0,8,1,216,0,0,133,1
3,7,1,0,0,0,125,0,0,5,0
8,6,4,0,5,0,332,0,0,88,3
7,8,1,0,0,0,303,0,0,15,0
13,15,19,0,3,5,346,0,0,84,3
83,227,4,2,37,5,146,0,0,123,2
13,0,10,0,5,1,327,0,0,137,8
7,19,1,0,0,0,174,0,0,2,0
6,8,2,1,6,3,300,3,0,440,7
2,3,9,0,0,0,123,0,0,12,0
129,220,13,110,1,0,0,0,0,11,0
4,4,8,0,0,0,161,1,0,122,0
2,5,1,0,69,7,23,0,0,17,0
1,6,19,12,1,0,81,0,0,19,0
9,8,3,2,1,0,171,0,0,16,0
4,8,2,0,0,0,321,2,1,9,0
1,0,13,18,41,8,38,12,8,47,0
6,0,13,5,31,24,76,0,0,35,3
6,17,4,1,16,6,168,1,0,314,2
4,24,1,0,0,0,139,0,0,6,0
4,0,2,7,0,0,0,0,0,2,0
2,0,12,0,19,2,88,1,0,18,0
75,151,11,1,79,3,12,0,0,25,0
1,53,1,0,0,0,0,0,0,0,0
167,266,3,32,2,3,1,0,0,3,2
5,57,2,0,24,24,2,0,0,3,2
6,68,1,0,99,44,7,2,0,1,16
132,92,10,115,50,72,104,1,1,37,11
1,2,13,3,8,2,114,0,0,38,1
5,25,5,65,7,8,0,0,0,1,0
407,1336,9,147,17,15,10,0,0,8,7
62,133,8,149,10,5,5,0,0,7,1
17,196,23,21,0,0,4,1,3,3,0
5,6,2,5,0,0,2,0,0,2,1
31,26,11,244,2,27,307,0,0,90,0
232,455,7,412,44,69,68,13,27,63,16
176,229,43,180,40,33,15,11,25,16,20
86,207,19,88,14,14,6,0,0,9,1
7,10,2,3,1,0,3,0,0,0,0
67,63,36,373,62,67,18,3,28,9,24
193,470,18,80,32,100,2511,0,0,3017,26
520,879,14,238,28,27,27,1,4,2,3
9,31,3,72,4,3,1,0,0,3,0
120,334,4,53,0,0,107,0,0,158,0
10,27,22,23,26,16,6,1,1,3,1
37,10,31,384,21,34,159,22,40,84,12
109,87,26,182,30,60,1,0,0,6,5
479,1504,31,284,72,49,7,0,0,25,4
43,4,6,36,88,160,9,0,0,2,9
35,32,10,175,28,63,2,6,84,20,5
7,0,6,32,2,4,4,0,0,12,0
4,4,2,0,2,0,0,0,0,0,0
4,6,4,0,21,13,76,0,0,18,0
59,301,34,95,2,3,10,3,5,20,2
25,24,5,39,4,3,0,0,0,4,0
15,0,6,11,1,1,2,0,0,1,1
24,31,9,45,0,0,24,0,0,10,0
676,1307,75,255,0,0,57,0,0,112,2
138,0,48,304,94,101,0,0,0,38,27
223,227,17,491,40,52,25,8,12,25,6
105,344,10,217,25,19,35,14,27,22,2
55,32,17,305,67,131,13,6,17,17,25
502,470,44,359,33,24,29,1,3,12,6
82,84,6,141,21,82,82,0,0,27,5
97,101,7,174,35,61,38,0,0,20,5
16,15,16,68,0,0,102,0,0,19,5
195,179,1,0,1,1,119,0,0,5,0
226,401,8,92,0,0,393,6,8,58,5
13,1,8,9,2,1,2,1,1,0,1
3,6,8,11,2,2,2,0,0,1,2
53,59,10,69,83,175,7,2,1,37,5
